gene,n_residues,rg_angstrom,rh_angstrom,dmax_angstrom,asphericity,anisotropy,axial_ratio,perrin_friction,compactness_vs_globular,diffusion_relative,net_charge,isoelectric_point,surface_charge,charge_dipole
STX12,276,41.09,53.0,169.54,0.8733,0.7631,5.545,1.2851,2.2066,0.2936,-5.6,5.34,-6.7,851.8
STX18,335,48.16,62.13,195.61,0.7451,0.5622,4.774,1.2348,2.403,0.2607,-10.3,5.24,-14.8,815.1
STX6,255,39.91,51.48,161.03,0.8159,0.667,4.618,1.2244,2.2089,0.3173,-11.7,4.69,-10.7,206.0
STX7,261,30.54,39.39,119.23,0.5069,0.2932,3.51,1.1484,1.6753,0.4421,-5.6,5.29,-4.8,305.8
STX8,236,32.33,41.71,134.78,0.8242,0.6805,4.766,1.2342,1.843,0.3885,-8.9,4.76,-8.9,298.9
SUPT5H,1087,47.27,60.98,147.25,0.1783,0.0325,1.324,1.0071,1.5079,0.3257,-51.7,4.81,-62.2,1166.1
TAF12,161,29.87,38.53,86.65,0.3038,0.1591,2.543,1.0805,1.9689,0.4804,1.3,8.21,6.0,372.9
TAOK1,1001,64.03,82.6,252.28,0.8213,0.6754,4.485,1.2154,2.1077,0.1992,3.0,7.34,-1.2,1054.1
TCF25,676,34.09,43.97,120.79,0.2459,0.0736,1.639,1.0221,1.3026,0.445,-10.1,5.93,-9.6,423.0
TGFBRAP1,860,55.19,71.2,168.03,0.7498,0.5662,4.217,1.1973,1.9247,0.2346,-11.1,6.1,-7.7,509.3
TLK2,772,46.35,59.79,197.88,0.5515,0.3065,2.4,1.0706,1.684,0.3124,11.3,8.43,-0.1,433.9
TMED2,201,29.81,38.45,119.75,0.6561,0.4358,3.26,1.1308,1.8059,0.46,-8.5,4.95,-1.8,359.3
TMEM106B,274,51.03,65.82,169.86,0.9185,0.8439,6.97,1.3732,2.7481,0.2213,-0.5,6.59,-2.6,276.3
TMEM147,224,18.22,23.5,57.54,0.2539,0.0787,1.671,1.0239,1.0591,0.8312,1.5,7.63,0.3,106.8
TMEM192,271,33.56,43.29,135.51,0.73,0.5352,3.627,1.1566,1.8149,0.3995,3.1,7.91,-5.3,272.8
TMEM208,173,21.7,28.0,76.28,0.5203,0.2981,3.248,1.13,1.392,0.6322,5.3,9.6,5.1,161.2
TMEM63B,832,32.94,42.5,125.41,0.4267,0.1915,2.141,1.0531,1.1633,0.4469,2.1,7.09,-14.2,793.4
TOP1,765,37.99,49.01,133.25,0.1048,0.0212,1.296,1.006,1.385,0.4057,36.4,9.73,0.6,882.4
TRAPPC2,140,14.16,18.26,42.19,0.164,0.0384,1.429,1.0115,0.9841,1.0826,-3.2,6.04,-1.5,89.5
TRIM24,1050,53.55,69.08,192.68,0.4347,0.1928,2.021,1.0452,1.7311,0.277,-1.3,6.7,-14.0,1023.8
TRIM28,835,53.62,69.17,187.35,0.5389,0.2928,2.349,1.0671,1.8909,0.271,-19.0,5.44,-28.9,474.9
TRIM33,1127,55.18,71.19,191.7,0.3472,0.1245,1.766,1.0294,1.7364,0.2729,-9.8,6.21,-7.6,1714.7
TRIR,176,35.59,45.91,106.28,0.344,0.1652,2.451,1.0741,2.2676,0.4056,6.1,9.92,4.0,342.6
TRMT1L,733,35.88,46.29,124.95,0.329,0.1212,1.871,1.0358,1.3296,0.4171,6.6,7.72,-5.4,153.0
TSG101,390,44.61,57.55,173.18,0.6564,0.4353,3.186,1.1256,2.101,0.3087,-2.5,6.04,-4.7,247.9
TUBA1B,451,21.86,28.19,84.25,0.1672,0.0619,1.612,1.0206,0.974,0.6951,-22.7,4.81,-19.4,335.6
U2SURP,1029,53.08,68.48,169.69,0.2229,0.0661,1.614,1.0207,1.7291,0.2861,10.3,8.68,20.3,2049.4
UBA1,1058,33.92,43.76,107.46,0.1997,0.0555,1.548,1.0173,1.0933,0.4493,-22.7,5.41,-26.0,441.3
UBA5,404,29.8,38.44,115.5,0.474,0.2298,2.199,1.057,1.3847,0.4922,-21.4,4.64,-17.7,440.1
UBE2M,183,20.53,26.48,66.44,0.6172,0.3827,2.69,1.0908,1.2888,0.6924,1.2,7.69,0.1,98.7
ULK3,472,33.11,42.71,143.56,0.5842,0.3565,3.276,1.132,1.4503,0.4136,0.3,6.99,-5.7,388.8
UPF1,1129,40.24,51.91,159.35,0.1194,0.0161,1.239,1.0041,1.2653,0.3837,-7.8,6.16,-27.4,1719.7
USP10,798,39.87,51.43,133.67,0.1792,0.0425,1.452,1.0125,1.4305,0.384,-22.6,5.06,-27.5,704.4
USP36,1123,51.38,66.29,155.74,0.0845,0.0087,1.175,1.0023,1.6191,0.301,65.5,10.09,35.0,893.1
UTP14A,771,57.39,74.04,171.44,0.3254,0.1438,2.212,1.0578,2.0862,0.2554,2.5,7.93,-24.6,925.3
UTRN,1347,88.23,113.82,285.62,0.8186,0.6733,5.577,1.2871,2.5944,0.1365,-31.6,5.67,-39.4,1703.6
VAMP4,141,40.72,52.53,136.05,0.752,0.5833,8.0,1.66,2.8229,0.2294,0.2,7.32,-0.9,533.1
VAMP8,100,42.47,54.78,149.2,0.9688,0.9387,8.0,1.9595,3.3544,0.1863,0.2,7.32,0.2,350.8
VMP1,406,30.8,39.74,126.09,0.5464,0.3043,2.545,1.0806,1.4287,0.4658,-1.8,6.5,-5.3,269.5
VPS16,839,50.67,65.36,150.29,0.7315,0.5394,3.992,1.1819,1.7836,0.2589,-5.7,6.32,-5.9,636.7
VPS29,182,14.84,19.15,42.11,0.1656,0.0313,1.354,1.0082,0.9338,1.036,-2.1,6.32,-0.8,77.9
VPS35,796,47.0,60.64,140.62,0.7789,0.6081,4.04,1.1851,1.688,0.2783,-25.9,5.2,-38.0,197.6
VPS37B,285,46.27,59.69,154.64,0.7253,0.5343,4.569,1.2211,2.455,0.2744,0.2,7.31,5.1,241.8
VPS39,886,57.26,73.87,178.13,0.7731,0.6044,5.481,1.281,1.9744,0.2114,-4.5,6.54,-10.6,310.5
VPS4A,437,26.97,34.79,97.04,0.3564,0.1491,2.105,1.0507,1.2163,0.5471,2.0,7.74,-10.5,169.6
VPS8,1428,48.81,62.97,141.88,0.2517,0.1029,1.929,1.0393,1.4038,0.3056,-42.8,5.32,-41.9,1148.9
VRK3,474,31.15,40.19,116.13,0.2453,0.0731,1.635,1.0218,1.3623,0.487,17.0,9.28,6.3,407.8
VTI1A,217,39.67,51.17,153.29,0.8643,0.7485,6.329,1.3343,2.3342,0.2929,-1.7,6.03,-1.7,634.0
WASF2,498,42.15,54.37,125.99,0.1965,0.0436,1.43,1.0115,1.8088,0.3637,-7.6,5.24,-5.8,357.4
WDR12,423,24.37,31.44,92.03,0.5608,0.3177,2.498,1.0774,1.113,0.5904,-11.6,5.51,-7.6,115.4
WDR3,943,36.63,47.25,125.34,0.2982,0.1265,2.088,1.0496,1.2334,0.4032,-8.5,6.19,-15.6,740.3
WDR75,830,34.66,44.71,110.98,0.1961,0.0538,1.537,1.0167,1.2251,0.44,-17.8,5.58,-24.0,1011.9
WNK1,2382,65.78,84.86,208.04,0.1181,0.0156,1.235,1.004,1.5575,0.2348,-25.3,5.91,-14.8,1155.5
XPO5,1204,38.12,49.18,124.46,0.3664,0.1475,1.998,1.0437,1.1698,0.3896,-21.8,5.47,-53.4,310.3
YES1,543,27.81,35.87,93.52,0.2586,0.0797,1.669,1.0237,1.1549,0.5446,-2.2,6.32,-8.8,110.4
YWHAQ,245,20.09,25.92,73.59,0.2372,0.1088,2.008,1.0444,1.129,0.7389,-13.9,4.53,-21.0,183.7
YY1,414,34.16,44.06,105.97,0.2296,0.0571,1.492,1.0144,1.5725,0.4474,-17.0,5.79,-23.2,786.4
ZCCHC9,271,34.88,44.99,99.11,0.2356,0.0615,1.528,1.0162,1.8863,0.4374,16.7,9.5,12.1,279.1
